"","uniqueLoc","lon","lat","type","loctype","address","north","south","east","west","locality","administrative_area_level_1","country","street_number","route"
"1","Anchorage, Alaska",-149.855702,61.220018,"locality","rooftop","Anchorage, Alaska",61.221018,61.219018,-149.854702,-149.856702,"Anchorage","AK","United States",NA,NA
"2","Juneau, Alaska",-134.523946,58.373561,"locality","rooftop","Juneau, Alaska",58.374561,58.372561,-134.522946,-134.524946,"Juneau","AK","United States",NA,NA
"3","Nome, Alaska",-165.40639,64.50111,"locality","rooftop","Nome, Alaska",64.50211,64.50011,-165.40539,-165.40739,"Nome","AK","United States",NA,NA
"4","Bethel, Alaska",-161.75583,60.79222,"locality","rooftop","Bethel, Alaska",60.79322,60.79122,-161.75483,-161.75683,"Bethel","AK","United States",NA,NA
"5","North Slope, Alaska",-152,69,"null","approximate","North Slope, Alaska",NA,NA,NA,NA,NA,NA,"USA",NA,NA
"6","Kenai Peninsula, Alaska",-151.304427,60.58293,"street_address","rooftop","Kenai Peninsula, Alaska",60.58393,60.58193,-151.303427,-151.305427,"Kenai","AK","United States","2","Kenai Ave"
"7","Jefferson, Alabama",-86.644431,33.541771,"locality","rooftop","Jefferson, Alabama",33.542771,33.540771,-86.643431,-86.645431,"Birmingham","AL","United States",NA,NA
"8","Mobile, Alabama",-88.103184,30.701142,"locality","rooftop","Mobile, Alabama",30.702142,30.700142,-88.102184,-88.104184,"Mobile","AL","United States",NA,NA
"9","Montgomery, Alabama",-86.257817,32.356988,"locality","rooftop","Montgomery, Alabama",32.357988,32.355988,-86.256817,-86.258817,"Montgomery","AL","United States",NA,NA
"10","Autauga, Alabama",-86.64276,32.53492,"null","approximate","Autauga, Alabama",32.7365951538,32.3455238342,-86.3559265137,-86.8204879761,NA,NA,"USA",NA,NA
"11","Baldwin, Alabama",-87.74984,30.66097,"null","approximate","Baldwin, Alabama",31.1902618408,30.1511383057,-87.4109191895,-88.0864105225,NA,NA,"USA",NA,NA
"12","Barbour, Alabama",-85.677368,31.406411,"street_address","rooftop","Barbour, Alabama",31.407411,31.405411,-85.676368,-85.678368,"Ozark","AL","United States","101","Barbara Dr"
"13","Blount, Alabama",-86.56737,33.98087,"null","approximate","Blount, Alabama",34.200176239,33.7612037659,-86.3079528809,-86.8674087524,NA,NA,"USA",NA,NA
